,index,status,kw,go,score,n_kwgo,n_kw,n_go,R,kw_name,go_name,kw_def,go_def
290,186,,KW-0916,GO:0003723,0.02,76,153,4428,4,Viral movement protein,RNA binding, Plant viral protein that enables the viral nucleic acid to move between adjacent plant cells via the plasmodesmata,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.
291,187,,KW-0916,GO:0003676,0.01,2,153,160,5,Viral movement protein,nucleic acid binding, Plant viral protein that enables the viral nucleic acid to move between adjacent plant cells via the plasmodesmata,Interacting selectively and non-covalently with any nucleic acid.
292,90,,KW-1220,GO:0004867,0.11,58,426,146,1,Voltage-gated potassium channel impairing toxin,serine-type endopeptidase inhibitor activity, Protein which interferes with the function of voltage-gated potassium channels (Kv) which are membrane proteins forming a channel in a biological membrane selectively permeable to potassium ions and open in response to a change in membrane potential. They are mostly found in scorpion and spider venoms,"Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme."
293,91,,KW-1220,GO:0090729,0.1,415,426,4145,2,Voltage-gated potassium channel impairing toxin,toxin activity, Protein which interferes with the function of voltage-gated potassium channels (Kv) which are membrane proteins forming a channel in a biological membrane selectively permeable to potassium ions and open in response to a change in membrane potential. They are mostly found in scorpion and spider venoms,"Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
294,92,,KW-1220,GO:0008200,0.08,82,426,741,3,Voltage-gated potassium channel impairing toxin,ion channel inhibitor activity, Protein which interferes with the function of voltage-gated potassium channels (Kv) which are membrane proteins forming a channel in a biological membrane selectively permeable to potassium ions and open in response to a change in membrane potential. They are mostly found in scorpion and spider venoms,"Stops, prevents, or reduces the activity of an ion channel."
295,93,,KW-1220,GO:0019870,0.05,21,426,26,4,Voltage-gated potassium channel impairing toxin,potassium channel inhibitor activity, Protein which interferes with the function of voltage-gated potassium channels (Kv) which are membrane proteins forming a channel in a biological membrane selectively permeable to potassium ions and open in response to a change in membrane potential. They are mostly found in scorpion and spider venoms,"Stops, prevents, or reduces the activity of a potassium channel."
296,268,,KW-0078,GO:0005102,0.1,43,64,406,1,Bacteriocin,receptor binding," Peptidic antibiotic, often plasmid encoded, produced by specific strains of bacteria that is lethal against other strains of the same or related species. E.g. bacteriocin, colicin, lantibiotic","Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."
297,269,,KW-0078,GO:0004519,0.05,7,64,78,2,Bacteriocin,endonuclease activity," Peptidic antibiotic, often plasmid encoded, produced by specific strains of bacteria that is lethal against other strains of the same or related species. E.g. bacteriocin, colicin, lantibiotic",Catalysis of the hydrolysis of ester linkages within nucleic acids by creating internal breaks.
298,270,,KW-0078,GO:0044325,0.03,3,64,41,3,Bacteriocin,ion channel binding," Peptidic antibiotic, often plasmid encoded, produced by specific strains of bacteria that is lethal against other strains of the same or related species. E.g. bacteriocin, colicin, lantibiotic","Interacting selectively and non-covalently with one or more specific sites on an ion channel, a protein complex that spans a membrane and forms a water-filled channel across the phospholipid bilayer allowing selective ion transport down its electrochemical gradient."
299,271,,KW-0078,GO:0004540,0.02,2,64,36,4,Bacteriocin,ribonuclease activity," Peptidic antibiotic, often plasmid encoded, produced by specific strains of bacteria that is lethal against other strains of the same or related species. E.g. bacteriocin, colicin, lantibiotic",Catalysis of the hydrolysis of phosphodiester bonds in chains of RNA.
300,272,,KW-0078,GO:0008233,0.02,4,64,102,5,Bacteriocin,peptidase activity," Peptidic antibiotic, often plasmid encoded, produced by specific strains of bacteria that is lethal against other strains of the same or related species. E.g. bacteriocin, colicin, lantibiotic",Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.
301,310,,KW-0568,GO:0042973,0.1,4,41,4,1,Pathogenesis-related protein,"glucan endo-1,3-beta-D-glucosidase activity"," Protein induced in several plant species when they are infected by viruses, viroids, fungi or bacteria. The occurrence of these proteins is not pathogen-specific, but determined by the type of reaction of the host plant. They form a protective barrier against pathogens by collecting at infection sites and act to decrease susceptibility of plants. They may have anti-fungal or anti-bacterial activity",Catalysis of the hydrolysis of (1->3)-beta-D-glucosidic linkages in (1->3)-beta-D-glucans.
302,311,,KW-0568,GO:0004568,0.09,5,41,19,2,Pathogenesis-related protein,chitinase activity," Protein induced in several plant species when they are infected by viruses, viroids, fungi or bacteria. The occurrence of these proteins is not pathogen-specific, but determined by the type of reaction of the host plant. They form a protective barrier against pathogens by collecting at infection sites and act to decrease susceptibility of plants. They may have anti-fungal or anti-bacterial activity",Catalysis of the hydrolysis of (1->4)-beta linkages of N-acetyl-D-glucosamine (GlcNAc) polymers of chitin and chitodextrins.
303,312,,KW-0568,GO:0005516,0.05,19,41,394,3,Pathogenesis-related protein,calmodulin binding," Protein induced in several plant species when they are infected by viruses, viroids, fungi or bacteria. The occurrence of these proteins is not pathogen-specific, but determined by the type of reaction of the host plant. They form a protective barrier against pathogens by collecting at infection sites and act to decrease susceptibility of plants. They may have anti-fungal or anti-bacterial activity","Interacting selectively and non-covalently with calmodulin, a calcium-binding protein with many roles, both in the calcium-bound and calcium-free states."
304,313,,KW-0568,GO:0030247,0.04,2,41,17,4,Pathogenesis-related protein,polysaccharide binding," Protein induced in several plant species when they are infected by viruses, viroids, fungi or bacteria. The occurrence of these proteins is not pathogen-specific, but determined by the type of reaction of the host plant. They form a protective barrier against pathogens by collecting at infection sites and act to decrease susceptibility of plants. They may have anti-fungal or anti-bacterial activity","Interacting selectively and non-covalently with any polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."
305,314,,KW-0568,GO:0016798,0.02,1,41,8,5,Pathogenesis-related protein,"hydrolase activity, acting on glycosyl bonds"," Protein induced in several plant species when they are infected by viruses, viroids, fungi or bacteria. The occurrence of these proteins is not pathogen-specific, but determined by the type of reaction of the host plant. They form a protective barrier against pathogens by collecting at infection sites and act to decrease susceptibility of plants. They may have anti-fungal or anti-bacterial activity",Catalysis of the hydrolysis of any glycosyl bond.
